"numero_dpe","date_etablissement_dpe","etiquette_dpe","type_batiment","surface_habitable_logement","adresse_ban","type_energie_n1","conso_chauffage_ef","conso_ecs_ef","conso_refroidissement_ef","conso_eclairage_ef","conso_auxiliaires_ef","conso_chauffage_ep","conso_ecs_ep","conso_refroidissement_ep","conso_eclairage_ep","conso_auxiliaires_ep","cout_chauffage","cout_ecs","cout_refroidissement","cout_eclairage","cout_auxiliaires","type_dpe"
"2501N0897821D","2025-03-16","B","appartement",83.2,"119 Avenue de la République 01630 Saint-Genis-Pouilly","Électricité",2293.1,1520.7,0,182.5,118.1,2433.8,1544.8,0,419.8,271.7,324.2,203.5,0,63.4,41,"existant"
"2501N0941211Z","2025-03-18","A","maison",90.2,"Lotissement Laty 01540 Saint-Julien-sur-Veyle","Électricité",1479.3,442,0,180.4,0,3402.3,1016.6,0,414.9,0,387,116,0,47,0,"existant"
"2501N0907862I","2025-03-17","B","appartement",49.4,"10a rue amédee fornet 01000 Bourg-en-Bresse","Réseau de Chauffage urbain",2238.9,2063.9,0,36.3,8.5,2238.9,2063.9,0,83.6,19.7,199.7,184.1,0,104.6,24.6,"existant"
"2501N0898030E","2025-03-16","B","appartement",91.5,"119 Avenue de la République 01630 Saint-Genis-Pouilly","Gaz naturel",1908.7,1931.6,0,175.1,128.4,2007.5,1957.1,0,402.7,295.3,266.8,257.7,0,60.8,44.6,"existant"
"2501N0781987Z","2025-03-06","B","appartement",30.4,"70 rue de loëze 01000 Bourg-en-Bresse","Gaz naturel",491,1409.9,0,22.3,1.5,1129.2,1409.9,0,51.2,3.4,170.5,185,0,64.1,4.3,"existant"
"2501N0897911P","2025-03-16","C","appartement",73.7,"119 Avenue de la République 01630 Saint-Genis-Pouilly","Gaz naturel",2536.2,1448.4,0,161.7,104.6,2691.9,1471.3,0,371.9,240.6,358.6,193.8,0,56.1,36.3,"existant"
"2501N0929449P","2025-03-18","B","maison",85.6,"Avenue de la Gare 01310 Polliat","Électricité",2002.2,716.3,0,146.7,86.3,4605,1647.5,0,337.4,198.5,486.6,174.1,0,35.7,21,"existant"
"2501N0897870A","2025-03-16","B","appartement",58.3,"119 Avenue de la République 01630 Saint-Genis-Pouilly","Gaz naturel",1467,1331.2,0,127.9,82.8,1557,1352.3,0,294.2,190.4,207.4,178.2,0,44.4,28.7,"existant"
"2501N0898038M","2025-03-16","C","appartement",67.4,"119 Avenue de la République 01630 Saint-Genis-Pouilly","Électricité",2005.6,1708,0,129,94.6,2109.4,1730.6,0,296.7,217.5,280.4,227.8,0,44.8,32.8,"existant"
"2501N0918746Y","2025-03-17","C","appartement",61.5,"38 Boulevard des Epinettes 01220 Divonne-les-Bains","Gaz naturel",3083.9,1561.1,0,130.4,133.5,3094.3,1569.1,0,300,307,406.3,206.1,0,45.3,46.3,"existant"
"2501N0918747Z","2025-03-17","C","appartement",62.1,"38 Boulevard des Epinettes 01220 Divonne-les-Bains","Gaz naturel",3112.7,1566,0,131.6,134.7,3124,1574,0,302.8,309.8,410.3,206.8,0,45.7,46.8,"existant"
"2501N0782078M","2025-03-06","C","appartement",30.4,"70 rue de loëze 01000 Bourg-en-Bresse","Gaz naturel",504.3,1409.9,0,22.3,1.5,1160,1409.9,0,51.2,3.4,175.1,185,0,64.1,4.3,"existant"
"2501N0781833B","2025-03-06","C","appartement",25.9,"70 rue de loëze 01000 Bourg-en-Bresse","Gaz naturel",503.5,1323.3,0,18.9,1.3,1158,1323.3,0,43.6,2.9,174.8,173.6,0,54.6,3.6,"existant"
"2501N0781864G","2025-03-06","B","appartement",30.5,"70 rue de loëze 01000 Bourg-en-Bresse","Gaz naturel",490.5,1411.2,0,22.3,1.5,1128.2,1411.2,0,51.3,3.4,170.3,185.1,0,64.3,4.3,"existant"
"2501N0918721Z","2025-03-17","C","appartement",61.8,"38 Boulevard des Epinettes 01220 Divonne-les-Bains","Gaz naturel",3100.5,1563.8,0,131.1,134.2,3112.2,1571.8,0,301.5,308.6,408.7,206.5,0,45.5,46.6,"existant"
"2501N1015516W","2025-03-24","B","appartement",231,"rue leopold le hon 01000 Bourg-en-Bresse","Électricité",1478.4,560.4,3234,1894.2,2333.1,3400.3,1288.8,7438.2,4356.7,5366.1,310.1,117.6,678.4,397.4,489.5,"existant"
"2501N1015554I","2025-03-24","B","appartement",378,"rue leopold le hon 01000 Bourg-en-Bresse","Électricité",2419.2,797.3,5292,3099.6,3817.8,5564.2,1833.8,12171.6,7129.1,8780.9,496.1,163.5,1085.2,635.6,782.9,"existant"
"2501N0897984K","2025-03-16","C","appartement",48.2,"119 Avenue de la République 01630 Saint-Genis-Pouilly","Gaz naturel",1336.8,1516.7,0,92.2,67.6,1406,1536.7,0,212.1,155.6,186.9,202.3,0,32,23.5,"existant"
"2501N0782092A","2025-03-06","B","appartement",30.4,"70 rue de loëze 01000 Bourg-en-Bresse","Gaz naturel",491.1,1410.1,0,22.3,1.5,1129.5,1410.1,0,51.2,3.4,170.5,185,0,64.1,4.3,"existant"
"2501N0781940E","2025-03-06","B","appartement",30.4,"70 rue de loëze 01000 Bourg-en-Bresse","Gaz naturel",491.1,1410.1,0,22.3,1.5,1129.5,1410.1,0,51.2,3.4,170.5,185,0,64.1,4.3,"existant"
"2501N0782042C","2025-03-06","B","appartement",30.5,"70 rue de loëze 01000 Bourg-en-Bresse","Gaz naturel",491.6,1411.2,0,22.3,1.5,1130.6,1411.2,0,51.3,3.4,170.7,185.1,0,64.3,4.3,"existant"
